1、不做处理时
内存数据变化：
	4.99269485473632,	4.98945999145507,	4.98317718505859,	4.99202728271484,	4.98688507080078,	4.98490905761718,	5.16588973999023,	5.37707901000976,	5.63764953613281,	5.67367553710937,	5.68843460083007,	5.69052124023437,	5.69482040405273,	5.69282531738281,	5.69475173950195,	5.6955223083496,	5.69425201416015,	5.69521331787109,	5.69987869262695,	5.71728515625,	5.71906280517578,	5.73315048217773,	5.73309707641601,	5.74259185791015,	5.73816299438476,	5.73670196533203,	5.73627090454101,	5.73609542846679,	5.73591613769531,	5.73465728759765,	5.73094940185546,	5.73171234130859,	5.73160171508789,	5.73134613037109,	5.73103713989257,	5.73118209838867,	5.73114395141601,	5.7314338684082,	5.74026489257812,	5.73832321166992,	5.74665451049804,	5.74645614624023,	5.74328994750976,	5.7400894165039,	5.73957824707031,	5.74415588378906,	5.74337005615234,	5.74312210083007,	5.74195861816406,	5.74124526977539,
耗时：
开始时间：508794132194700, 结束时间：508794201938000, 耗时：0.0697433s
开始时间：508767143663200, 结束时间：508768003984300, 耗时：0.8603211s
开始时间：508742728583000, 结束时间：508743877631400, 耗时：1.1490484s
开始时间：508754833886700, 结束时间：508755855496300, 耗时：1.0216096s
开始时间：508736849596400, 结束时间：508737049448600, 耗时：0.1998522s
开始时间：508792262725200, 结束时间：508792499262700, 耗时：0.2365375s
开始时间：508739413640200, 结束时间：508739552445500, 耗时：0.1388053s
开始时间：508783676237300, 结束时间：508784236230800, 耗时：0.5599935s
开始时间：508787243373200, 结束时间：508787691504600, 耗时：0.4481314s
开始时间：508758811616400, 结束时间：508759738847600, 耗时：0.9272312s
开始时间：508791587785300, 结束时间：508791825279600, 耗时：0.2374943s
开始时间：508790394249100, 结束时间：508790691076100, 耗时：0.296827s
开始时间：508786315455300, 结束时间：508786783826800, 耗时：0.4683715s
开始时间：508794201948800, 结束时间：508794297079800, 耗时：0.095131s
开始时间：508737910522500, 结束时间：508738138455800, 耗时：0.2279333s
开始时间：508743877646300, 结束时间：508745118920300, 耗时：1.241274s
开始时间：508763524969000, 结束时间：508764447637700, 耗时：0.9226687s
开始时间：508785296655100, 结束时间：508785773697500, 耗时：0.4770424s
开始时间：508780108112800, 结束时间：508780737056200, 耗时：0.6289434s
开始时间：508792833326900, 结束时间：508792979606400, 耗时：0.1462795s
开始时间：508746249723400, 结束时间：508747368351000, 耗时：1.1186276s
开始时间：508794079177000, 结束时间：508794132158500, 耗时：0.0529815s
开始时间：508786783836100, 结束时间：508787243345400, 耗时：0.4595093s
开始时间：508776739236200, 结束时间：508777463898400, 耗时：0.7246622s
开始时间：508788925325500, 结束时间：508789285451600, 耗时：0.3601261s
开始时间：508753773230300, 结束时间：508754833877300, 耗时：1.060647s
开始时间：508737766645100, 结束时间：508737910489800, 耗时：0.1438447s
开始时间：508784801214200, 结束时间：508785296642100, 耗时：0.4954279s
开始时间：508790973463100, 结束时间：508791321077500, 耗时：0.3476144s
开始时间：508789760558900, 结束时间：508790080673700, 耗时：0.3201148s
开始时间：508790080700700, 结束时间：508790394236600, 耗时：0.3135359s
开始时间：508751697923400, 结束时间：508752759183800, 耗时：1.0612604s
开始时间：508772962229000, 结束时间：508773708428100, 耗时：0.7461991s
开始时间：508794425772100, 结束时间：508794469707100, 耗时：0.043935s
开始时间：508755855505400, 结束时间：508756852789800, 耗时：0.9972844s
开始时间：508782531370000, 结束时间：508783089228600, 耗时：0.5578586s
开始时间：508761711002700, 结束时间：508762635736200, 耗时：0.9247335s
开始时间：508759738864600, 结束时间：508760743450200, 耗时：1.0045856s
开始时间：508781339644500, 结束时间：508781976867100, 耗时：0.6372226s
开始时间：508766244127100, 结束时间：508767124479200, 耗时：0.8803521s
开始时间：508737175571700, 结束时间：508737637159400, 耗时：0.4615877s
开始时间：508736370280200, 结束时间：508736739254700, 耗时：0.3689745s
开始时间：508792499301200, 结束时间：508792676815300, 耗时：0.1775141s
开始时间：508771308054800, 结束时间：508772148468300, 耗时：0.8404135s
开始时间：508760743463300, 结束时间：508761710988900, 耗时：0.9675256s
开始时间：508737637171400, 结束时间：508737766636000, 耗时：0.1294646s
开始时间：508735810524100, 结束时间：508736050922700, 耗时：0.2403986s
开始时间：508736051639900, 结束时间：508736221693500, 耗时：0.1700536s
开始时间：508794376080500, 结束时间：508794425745400, 耗时：0.0496649s
开始时间：508736221700900, 结束时间：508736370273800, 耗时：0.1485729s
开始时间：508750666499300, 结束时间：508751697907800, 耗时：1.0314085s
开始时间：508792979626800, 结束时间：508794079163900, 耗时：1.0995371s
开始时间：508739255746300, 结束时间：508739413631200, 耗时：0.1578849s
开始时间：508781976878400, 结束时间：508782531357500, 耗时：0.5544791s
开始时间：508775172913100, 结束时间：508775988361700, 耗时：0.8154486s
开始时间：508747368366100, 结束时间：508748465771000, 耗时：1.0974049s
开始时间：508791825288600, 结束时间：508792052112600, 耗时：0.226824s
